model,features,n_components,split,best_hparams,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
LogisticRegression,flat_pca,200.0,random_trial,"{'max_iter': 2000, 'solver': 'lbfgs', 'C': 0.1}",0.8096280087527352,0.8090104454691471,0.8041575492341356,0.8063832837121031
LinearSVC,flat,,random_trial,"{'max_iter': 3000, 'C': 0.01}",0.6641137855579868,0.6550390974750542,0.6553610503282276,0.6495142064417411
LinearSVC,flat_pca,20.0,random_trial,"{'max_iter': 3000, 'C': 1.0}",0.7133479212253829,0.7126890110498469,0.675054704595186,0.6810557147156451
LinearSVC,flat_pca,50.0,random_trial,"{'max_iter': 3000, 'C': 0.1}",0.7768052516411379,0.7730091713394196,0.7778993435448578,0.777084439218058
LinearSVC,flat_pca,100.0,random_trial,"{'max_iter': 3000, 'C': 0.1}",0.7932166301969366,0.7895252521361462,0.8030634573304157,0.8033444100650442
LinearSVC,flat_pca,200.0,random_trial,"{'max_iter': 3000, 'C': 0.01}",0.7964989059080962,0.7935739039189638,0.7855579868708972,0.7865069536201783
RidgeClassifier,flat,,random_trial,{'alpha': 0.1},0.6487964989059081,0.6473513736742963,0.6487964989059081,0.6539149701036495
RidgeClassifier,flat_pca,20.0,random_trial,{'alpha': 0.1},0.6105032822757112,0.5819783430437222,0.5984682713347921,0.5696424837533456
RidgeClassifier,flat_pca,50.0,random_trial,{'alpha': 0.1},0.6892778993435449,0.6658256518838088,0.6925601750547046,0.6749006684779874
RidgeClassifier,flat_pca,100.0,random_trial,{'alpha': 0.1},0.7417943107221007,0.7279062094038391,0.7549234135667396,0.747426296700232
RidgeClassifier,flat_pca,200.0,random_trial,{'alpha': 0.1},0.7724288840262582,0.7613852295010188,0.7560175054704595,0.7501346111514696
KNN,flat,,random_trial,"{'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}",0.6148796498905909,0.6242194000639966,0.6159737417943107,0.6221264197443735
KNN,flat_pca,20.0,random_trial,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",0.7461706783369803,0.746020701203322,0.7472647702407003,0.7513179695616893
KNN,flat_pca,50.0,random_trial,"{'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}",0.7560175054704595,0.7570421645306163,0.7100656455142232,0.7130333450444748
KNN,flat_pca,100.0,random_trial,"{'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}",0.6717724288840262,0.6758910053597456,0.6586433260393874,0.6560227487932572
KNN,flat_pca,200.0,random_trial,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",0.3862144420131291,0.4070640189677999,0.3982494529540481,0.41832653653561497
MLP,flat,,random_trial,"{'hidden_layer_sizes': [256], 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 15}",0.7341356673960613,0.7365614007485948,0.6925601750547046,0.6973897531579369
MLP,flat_pca,20.0,random_trial,"{'hidden_layer_sizes': [256, 128], 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 15}",0.8008752735229759,0.8022962759530198,0.7943107221006565,0.797940597234823
MLP,flat_pca,50.0,random_trial,"{'hidden_layer_sizes': [128], 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 15}",0.812910284463895,0.810040713901901,0.812910284463895,0.8159040607376592
MLP,flat_pca,100.0,random_trial,"{'hidden_layer_sizes': [256, 128], 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 15}",0.8183807439824945,0.8156146591853815,0.7975929978118161,0.8018131002445339
MLP,flat_pca,200.0,random_trial,"{'hidden_layer_sizes': [256], 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 15}",0.7932166301969366,0.7942878063109051,0.7636761487964989,0.7664883753403986
