split,n_components,cumulative_variance
block_aware,20,0.09550806134939194
block_aware,50,0.1566852331161499
block_aware,100,0.2274439036846161
block_aware,200,0.336847722530365
random_trial,20,0.09310230612754822
random_trial,50,0.15267816185951233
random_trial,100,0.2240431159734726
random_trial,200,0.33547577261924744
